id,name,address_01,address_02,city,id_geo_states,postal_code
4612,Robert Gordon Elementary School,59 WEST GRANT AVENUE,,ROSELLE PARK,37,7204
2270,Robert Hunter Elementary School,8 DAYTON ROAD,,Flemington,37,08822-9104
452,Robert L. Craig School,20 WEST PARK STREET,,Moonachie,37,07074-1115
3571,Robert L. Horbelt Elementary School,104 BURR STREET,,Barnegat,37,8005
2891,ROBERT MASCENICK ELEMENTARY SCHOOL,300 BENJAMIN AVENUE,,Iselin,37,8830
2222,Robert Menendez Elementary School,600 55TH ST,,WEST NEW YORK,37,07093-4626
4284,Robert Morris School,122 ELIZABETH STREET,,S BOUND BROOK,37,8880
4478,Robert Morris School No. 18,860 CROSS AVE,,Elizabeth,37,07208-3547
2758,Robert N. Wilentz Elementary School,51 FIRST STREET,,PERTH AMBOY,37,8861
3410,Robert R Lazar Middle School,123 CHANGEBRIDGE ROAD,,Montville,37,07045-9560
4943,ROBERT TREAT ACADEMY CS,443 CLIFTON AVENUE,,Newark,37,07104-1339
2192,Robert Waters Elementary School,2800 SUMMIT AVE,,UNION CITY,37,07087-2323
3924,ROBERTO CLEMENTE,434 ROSA PARKS BLVD,,Paterson,37,7501
1713,ROBERTO CLEMENTE ELEMENTARY SCHOOL,257 SUMMER AVE,,Newark,37,07104-2717
3077,Robertsville Elementary School,36 MENZEL LANE,,Morganville,37,07751-1299
2399,ROBINSON ELEMENTARY SCHOOL,495 GROPP AVENUE,,Hamilton,37,08610-2020
3477,Rockaway Meadow Elementary School,160 EDWARDS ROAD,,Parsippany,37,07054-2205
3270,Rockaway Valley School,11 VALLEY ROAD,,BOONTON TOWNSHIP,37,7005
7503,RockNRollChorus,None,NULL,None,38,1
792,Roebling Elementary School,1330 HORNBERGER AVE,,Roebling,37,8554
79,Roland Rogers Elementary School,105 S  REEDS ROAD,,Galloway,37,8205
4382,Rolling Hills Primary School,60 SAMMIS ROAD,,Vernon,37,07462-0769
3750,Ronald L. Meinders Primary Learning Cent,1000 McKinley Avenue,,Manahawkin,37,8050
4480,Ronald Reagan Academy School No. 30,730 PENNSYLVANIA AVE,,Elizabeth,37,7208
2151,Roosevelt,733 KEARNY AVE,,Kearny,37,07032-3005
548,Roosevelt  Elementary School,508 TEANECK ROAD,,RIDGEFIELD PARK,37,7660
3838,Roosevelt Elementary School,50 ROOSEVELT AVENUE,,Hawthorne,37,7506
2697,Roosevelt Elementary School,83 LIVINGSTON AVE,,NEW BRUNSWICK,37,08901-2522
470,Roosevelt Elementary School,50 Webster Street,,North Arlington,37,7031
1193,ROOSEVELT ELEMENTARY SCHOOL,5526 WISTERIA AVE,,Pennsauken,37,08109-1242
4608,Roosevelt Elementary School,811 ST GEORGE AVE,,Rahway,37,07065-2626
2830,Roosevelt Elementary School,135 JACKSON AVENUE,,SOUTH PLAINFIELD,37,7080
4713,ROOSEVELT INTERMEDIATE SCHOOL,301 CLARK ST,,Westfield,37,07090-4009
1827,ROOSEVELT MIDDLE SCHOOL,36 GILBERT PL,,W ORANGE,37,07052-3948
3199,Roosevelt Public School,SCHOOL LANE,,Roosevelt,37,08555-0160
402,Roosevelt School,435 PASSAIC AVENUE,,Lodi,37,7644
422,Roosevelt School,530 STUYVESANT AVE,,Lyndhurst,37,07071-2628
4238,Roosevelt School,410 BROOKS BLVD,,Manville,37,8835
585,Roosevelt School,711 SUMMIT AVE,,RIVER EDGE,37,07661-2201
337,ROOSEVELT SCHOOL #7,225 LINCOLN PL,,Garfield,37,7026
2832,Roosevelt/Administration,125 JACKSON STREET,,SOUTH PLAINFIELD,37,7080
1066,Rosa International Middle School,485 BROWNING LANE,,CHERRY HILL,37,08003-3160
3926,Rosa L. Parks School of Fine and Perform,413 12TH AVENUE,,Paterson,37,7514
1773,ROSA PARKS/CENTRAL COMMUNITY SCHOOL,369 MAIN STREET,,Orange,37,7050
4614,Roselle Park High School,185 W WEBSTER AVE,,ROSELLE PARK,37,07204-1617
4616,Roselle Park Middle School,57 W GRANT AVE,,ROSELLE PARK,37,07204-2217
4594,ROSELLE PRESCHOOL,1305 St Georges Avenue,,Roselle,37,7203
4935,Roseville Community CS,540 ORANGE STREET,,Newark,37,7107
2893,ROSS STREET ELEMENTARY SCHOOL,ROSS STREET,,Woodbridge,37,7095
2248,Round Valley,128  COKESBURY RD,,Lebanon,37,08833-9599
7516,Rowan College of South Jersey,1400 Tanyard Road,NULL,Sewell,37,8080
7472,Rowan University,201 Mullica Hill Rd,NULL,Glassboro,37,8028
3533,Roxbury High School,ONE BRYANT DRIVE,,Succasunna,37,07876-1640
